Shopping	NOUNcompoundNOUN	bot	0
Shopping	NOUNinCOMPOUND	Shopping bot	0
bot	NOUNinCOMPOUND	Shopping bot	0
0	ABOUT	Shopping bot	0
tool	NOUNrev_nsubjNOUN	bot	0
0	ABOUT	bot	0
be	AUXcopNOUN	tool	0
""""	PUNCTpunctNOUN	tool	0
automated	ADJamodNOUN	tool	0
tool	NOUN_PREDICATE_OF	0	0
that	PRONnsubjVERB	allow	0
allow	VERBacl:relclNOUN	tool	0
allow	VERBrev_objNOUN	customer	0
0	ABOUT	customer	0
to	PARTmarkVERB	search	0
easily	ADVadvmodVERB	search	0
search	VERBxcompVERB	allow	0
for	ADPcaseNOUN	price	0
search	VERBrev_oblNOUN	price	0
0	ABOUT	price	0
and	CCONJccNOUN	characteristic	0
product	NOUNcompoundNOUN	characteristic	0
product	NOUNinCOMPOUND	product characteristic	0
characteristic	NOUNinCOMPOUND	product characteristic	0
0	ABOUT	product characteristic	0
characteristic	NOUNconjNOUN	price	0
from	ADPcaseNOUN	retailer	0
online	ADJamodNOUN	retailer	0
search	VERBrev_oblNOUN	retailer	0
0	ABOUT	retailer	0
""""	PUNCTpunctNOUN	tool	0
.	PUNCTpunctNOUN	tool	0
they	PRONnsubjADJ	available	1
be	AUXcopADJ	available	1
available	ADJ_PREDICATE_OF	1	1
on	ADPcaseNOUN	internet	1
the	DETdetNOUN	internet	1
available	ADJrev_oblNOUN	internet	1
1	ABOUT	internet	1
and	CCONJccVERB	act	1
act	VERBconjADJ	available	1
as	ADPcaseNOUN	engine	1
electronic	ADJamodNOUN	engine	1
commerce	NOUNcompoundNOUN	engine	1
commerce	NOUNinCOMPOUND	commerce engine	1
engine	NOUNinCOMPOUND	commerce engine	1
1	ABOUT	commerce engine	1
search	NOUNcompoundNOUN	engine	1
search	NOUNinCOMPOUND	search engine	1
engine	NOUNinCOMPOUND	search engine	1
1	ABOUT	search engine	1
act	VERBrev_oblNOUN	engine	1
1	ABOUT	engine	1
.	PUNCTpunctADJ	available	1
accept	VERBrev_nsubjNOUN	bot	2
2	ABOUT	bot	2
accept	VERB_PREDICATE_OF	2	2
user	NOUNcompoundNOUN	query	2
user	NOUNinCOMPOUND	user query	2
query	NOUNinCOMPOUND	user query	2
2	ABOUT	user query	2
accept	VERBrev_objNOUN	query	2
2	ABOUT	query	2
,	PUNCTpunctVERB	visit	2
visit	VERBconjVERB	accept	2
visit	VERBrev_objNOUN	eshop	2
2	ABOUT	eshop	2
or	CCONJccNOUN	website	2
website	NOUNconjNOUN	eshop	2
of	ADPcaseNOUN	merchant	2
